rva	name	conf	size	best_caller	harness_safety	brief_verdict	brief
0x004c79f0	FUN_004c79f0	C2	36	0x004d1020(C2)	DESTROYS_DEVICE	MUTATOR_LANE	re/orchestrator/read_fleet/runs/iter11_gate/gate_b7.md
0x0041a3d0	FUN_0041a3d0	C2	13	0x00402a40(C2)	UNBRIEFED	UNBRIEFED	
0x0041c2c0	FUN_0041c2c0	C2	13	0x00402a40(C2)	UNBRIEFED	UNBRIEFED	
0x0041da80	FUN_0041da80	C2	13	0x00402a40(C2)	UNBRIEFED	UNBRIEFED	
0x0041de70	FUN_0041de70	C2	13	0x00402a40(C2)	UNBRIEFED	UNBRIEFED	
0x00425ed0	FUN_00425ed0	C2	13	0x00402a40(C2)	UNBRIEFED	UNBRIEFED	
0x00499cc0	sub_00499cc0	C2	18	0x00492370(C2)	UNBRIEFED	UNBRIEFED	
0x004a45fb	_malloc	C2	18	0x004abc53(C3)	UNBRIEFED	UNBRIEFED	
0x004a77eb	FUN_004a77eb	C2	21	0x004a3258(C3)	UNBRIEFED	UNBRIEFED	
0x004a2c2f	FUN_004a2c2f	C2	23	0x004a31f3(C3)	UNBRIEFED	UNBRIEFED	
0x00403640	FUN_00403640	C2	24	0x00402750(C2)	UNBRIEFED	UNBRIEFED	
0x004aa3e4	___heap_select	C2	26	0x004aa3fe(C2)	UNBRIEFED	UNBRIEFED	
0x00496ce0	FUN_00496ce0	C2	27	0x00402a40(C2)	UNBRIEFED	UNBRIEFED	
