row,ppx,ppy,ppz,pdx,pdy,pdz,pzoom,pvw,ppairA,ppairB,mode,reset
150,0.429123,3.451907,5.168663,-0.122226,0.486019,-1.423203,2.749640,0.600000,0,3,0,0
151,0.428947,3.450924,5.167758,-0.122246,0.486019,-1.423353,2.749640,0.600000,0,3,0,0
152,0.428734,3.449798,5.166730,-0.122268,0.486019,-1.423524,2.749640,0.600000,0,3,0,0
153,0.428489,3.448565,5.165616,-0.122292,0.486019,-1.423710,2.749640,0.600000,0,3,0,0
154,0.428216,3.447256,5.164443,-0.122317,0.486019,-1.423907,2.749640,0.600000,0,3,0,0
155,0.427918,3.445895,5.163235,-0.122342,0.486019,-1.424111,2.749640,0.600000,0,3,0,0
156,0.427734,3.445081,5.162518,-0.122356,0.486019,-1.424233,2.749640,0.600000,0,3,0,0
157,0.427495,3.444070,5.161633,-0.122373,0.486019,-1.424383,2.749640,0.600000,0,3,0,0
158,0.427212,3.442912,5.160626,-0.122393,0.486019,-1.424555,2.749640,0.600000,0,3,0,0
159,0.426890,3.441645,5.159530,-0.122413,0.486019,-1.424742,2.749640,0.600000,0,3,0,0
160,0.426538,3.440300,5.158372,-0.122434,0.486019,-1.424940,2.749640,0.600000,0,3,0,0
161,0.426159,3.438902,5.157174,-0.122454,0.486019,-1.425144,2.749640,0.600000,0,3,0,0
162,0.425926,3.438065,5.156460,-0.122466,0.486019,-1.425266,2.749640,0.600000,0,3,0,0
163,0.425628,3.437028,5.155577,-0.122481,0.486019,-1.425417,2.749640,0.600000,0,3,0,0
164,0.425277,3.435839,5.154565,-0.122497,0.486019,-1.425589,2.749640,0.600000,0,3,0,0
165,0.424883,3.434539,5.153459,-0.122513,0.486019,-1.425777,2.749640,0.600000,0,3,0,0
166,0.424454,3.433160,5.152283,-0.122530,0.486019,-1.425975,2.749640,0.600000,0,3,0,0
167,0.423996,3.431726,5.151062,-0.122547,0.486019,-1.426180,2.749640,0.600000,0,3,0,0
168,0.423717,3.430869,5.150332,-0.122557,0.486019,-1.426302,2.749640,0.600000,0,3,0,0
169,0.423363,3.429805,5.149423,-0.122568,0.486019,-1.426454,2.749640,0.600000,0,3,0,0
170,0.422947,3.428586,5.148377,-0.122581,0.486019,-1.426626,2.749640,0.600000,0,3,0,0
