# CLEARED — non-leaf C2, all callees C2+, reachable. Ready to hand off.
rva	name	subsystem	size	n_callees	n_callers_c2plus	best_caller	shape_hint	blocking_callees
005ba720	FUN_005ba720	audio	50	2	1	005ba1d0	arg_getter	
0040b930	FUN_0040b930	gameplay	51	1	4	0041b540	other	
004194f0	FUN_004194f0	gameplay	51	4	1	00418990	const_return	
0041f1e0	FUN_0041f1e0	util	51	1	4	00412f30	arg_getter	
0041f220	FUN_0041f220	gameplay	51	1	2	00421630	arg_getter	
0042f660	DefaultViewportCameraInit	render	51	4	1	004921d0	other	
00442a20	Camera::InitWithMatrix	util	51	1	1	00446520	read_global_f32	
00444ff0	FUN_00444ff0	ai	51	0	1	00448730	other	
00448730	FUN_00448730	render	51	3	1	00410b30	other	
00452ec0	FUN_00452ec0	gameplay	51	2	1	00452f30	other	
004548a0	FUN_004548a0	vehicle	51	2	2	004548e0	other	
00472650	FUN_00472650	util	51	1	59	00405ab0	other	
004b4510	FUN_004b4510	util	51	1	5	004219f0	other	
004cb0b0	FUN_004cb0b0	render	51	0	1	004db770	read_global_u32	
004cb0f0	FUN_004cb0f0	render	51	0	1	004db770	read_global_u32	
004ccde0	FUN_004ccde0	util	51	1	2	0040d270	other	
004d38b0	rwD3D8CheckTextureFormat	render	51	0	1	004dee40	read_global_u32	
004d52d0	FUN_004d52d0	render	51	0	2	00498810	read_global_u32	
005a7b00	FUN_005a7b00	audio	51	2	1	005aba20	other	
0041f2c0	FUN_0041f2c0	gameplay	52	2	1	00459620	arg_getter	
00485070	FUN_00485070	util	52	2	1	0040fc00	read_global_u32	
004853b0	FUN_004853b0	smplfzx	52	2	1	004853f0	other	
00485e10	FUN_00485e10	particle	52	1	1	0040bd00	other	
00490490	FUN_00490490	render	52	1	2	0040bde0	read_global_u32	
00493bc0	FUN_00493bc0	util	52	0	2	004944c0	other	
00495150	FUN_00495150	input	52	3	1	00493540	other	
004b71c0	FUN_004b71c0	render	52	2	2	004b7b30	other	
004d8090	FUN_004d8090	render	52	0	1	004c2bf0	other	
005a6070	FUN_005a6070	audio	52	0	1	005a6030	other	
005a7ea0	FUN_005a7ea0	audio	52	3	1	005a79a0	other	
0045d3f0	FUN_0045d3f0	util	53	2	2	00429290	read_global_u32	
0047c1f0	FUN_0047c1f0	camera	53	1	1	0047c2d0	other	
004b4080	FUN_004b4080	render	53	2	4	00401000	other	
00550910	FUN_00550910	save	53	0	3	004b5370	other	
005aaac0	FUN_005aaac0	audio	53	0	2	005aa8a0	other	
005ad8d0	FUN_005ad8d0	audio	53	1	2	005ad770	other	
005adef0	FUN_005adef0	audio	53	0	1	005aabe0	other	
00403660	FUN_00403660	boot	54	1	1	00402a40	read_global_u32	
00442600	CameraPath::InitForTrack	util	54	1	1	00446520	other	
004671d0	FUN_004671d0	render	54	2	3	0045a190	other	
00467210	sub_00467210	render	54	2	16	004019d0	other	
0047c230	FUN_0047c230	camera	54	1	1	0047c270	other	
00484130	FUN_00484130	boot	54	0	1	00402a40	other	
004b67a0	FUN_004b67a0	render	54	3	1	004b6590	other	
004b7df0	FUN_004b7df0	input	54	2	12	004b9600	other	
004ba210	FUN_004ba210	input	54	6	2	004b7480	other	
