rva	name	subsystem	reason
004775b0	FUN_004775b0	render	callee-gate: 004c0b30=C1,004e69a0=C1,004e7e30=C1,005493d0=C1
00477870	FUN_00477870	render	callee-gate: 004e6e00=C1,005495b0=C1
00477e40	FUN_00477e40	render	callee-gate: 00477b40=C1
00477e60	FUN_00477e60	render	callee-gate: 004c39b0=C1
00477f00	FUN_00477f00	render	callee-gate: 004c39b0=C1
00478cd0	FUN_00478cd0	render	callee-gate: 00484580=C1
00479100	FUN_00479100	render	callee-gate: 004b4cd0=C1,00559040=C1
00479fb0	FUN_00479fb0	render	callee-gate: 004e6920=C1,004e7e30=C1
0047a130	FUN_0047a130	render	callee-gate: 0047b9b0=C1
0047acd0	FUN_0047acd0	render	inline bare [UNCERTAIN] (heading=## key globals / offsets)
0047ad00	FUN_0047ad00	render	inline bare [UNCERTAIN] (heading=## key globals / offsets)
004b4a80	FUN_004b4a80	render	callee-gate: 00538c80=C1
004b4c80	FUN_004b4c80	render	callee-gate: 00538c80=C1
004b4e20	FUN_004b4e20	render	callee-gate: 0053c5d0=C1
004b5080	FUN_004b5080	render	callee-gate: 004c39b0=C1
004b51d0	FUN_004b51d0	render	callee-gate: 004b5190=C1
004b5260	FUN_004b5260	render	callee-gate: 004b4130=C1,004b4140=C1
004b52f0	FUN_004b52f0	render	signature-unsupported: fastcall ECX/EDX args
004b5360	thunk_FUN_005507b0	render	live-state-side-effect: fopen — live file I/O (in ## mechanical description)
004b5380	thunk_FUN_00550950	render	callee-gate: 00550950=C1
004b5390	thunk_FUN_005509b0	render	callee-gate: 005509b0=C1
004b6590	thunk_FUN_004b67a0	render	live-state-side-effect: fclose on live FILE* (in ## mechanical description)
004b6710	FUN_004b6710	render	signature-unsupported: in_EAX arg
004b6770	FUN_004b6770	render	live-state-side-effect: fclose on live FILE* (in ## mechanical description)
004b67a0	FUN_004b67a0	render	live-state-side-effect: fclose on live FILE* (in ## mechanical description)
004b6940	FUN_004b6940	render	callee-gate: 00550790=C1,005507a0=C1
004b6b00	FUN_004b6b00	render	signature-unsupported: fastcall ECX/EDX args
004b6b20	FUN_004b6b20	render	signature-unsupported: fastcall ECX/EDX args
004b6b90	FUN_004b6b90	render	signature-unsupported: fastcall ECX/EDX args
004b7fd0	FUN_004b7fd0	render	callee-gate: 004b7ff0=C1
004b8080	FUN_004b8080	render	callee-gate: 004b7ff0=C1
004c5da0	FUN_004c5da0	render	signature-unsupported: 5-arg shape
004c79f0	FUN_004c79f0	render	live-state-side-effect: Direct3D vtable on live device (in ## mechanical description)
004c7a20	FUN_004c7a20	render	live-state-side-effect: Direct3D vtable on live device (in ## mechanical description)
004c9fb0	FUN_004c9fb0	render	live-state-side-effect: Direct3D vtable on live device (in ## mechanical description)
004cafd0	FUN_004cafd0	render	live-state-side-effect: Direct3D vtable on live device (in ## constants)
004cb070	FUN_004cb070	render	live-state-side-effect: Direct3D vtable on live device (in ## constants)
004cb0b0	FUN_004cb0b0	render	live-state-side-effect: Direct3D vtable on live device (in ## constants)
004cb130	FUN_004cb130	render	live-state-side-effect: Direct3D vtable on live device (in ## constants)
004cb190	FUN_004cb190	render	live-state-side-effect: Direct3D vtable on live device (in ## constants)
004cb2c0	FUN_004cb2c0	render	live-state-side-effect: Direct3D vtable on live device (in ## constants)
004cb2f0	FUN_004cb2f0	render	live-state-side-effect: Direct3D vtable on live device (in ## constants)
004cb4c0	FUN_004cb4c0	render	inline bare [UNCERTAIN] (heading=## c2 evidence)
004cb840	FUN_004cb840	render	inline bare [UNCERTAIN] (heading=## c2 evidence)
004cbb00	FUN_004cbb00	render	inline bare [UNCERTAIN] (heading=## c2 evidence)
004cbb20	FUN_004cbb20	render	inline bare [UNCERTAIN] (heading=## c2 evidence)
004cbbd0	FUN_004cbbd0	render	inline bare [UNCERTAIN] (heading=## c2 evidence)
004cd430	FUN_004cd430	render	callee-gate: 004e12b0=C1,004e14a0=C1
004cdd00	FUN_004cdd00	render	live-state-side-effect: remove() on live path (in ## mechanical description)
004cde20	FUN_004cde20	render	live-state-side-effect: _unlink on live path (in ## mechanical description)
004ce480	FUN_004ce480	render	callee-gate: 004e1a90=C1
004ce970	FUN_004ce970	render	shape-only note (no verbatim decomp / mechanical-transcript section)
004ceba0	FUN_004ceba0	render	shape-only note (no verbatim decomp / mechanical-transcript section)
004cecb0	FUN_004cecb0	render	shape-only note (no verbatim decomp / mechanical-transcript section)
004cf2b0	FUN_004cf2b0	render	shape-only note (no verbatim decomp / mechanical-transcript section)
004cf4a0	FUN_004cf4a0	render	shape-only note (no verbatim decomp / mechanical-transcript section)
004cf5a0	FUN_004cf5a0	render	shape-only note (no verbatim decomp / mechanical-transcript section)
004d8eb0	RwResourcesDrainArena	render	live-state-side-effect: _unlink on live path (in ## mechanical description (confirmed from decomp))
004dba60	FUN_004dba60	render	callee-gate: 004dcbb0=C1
004f0810	FUN_004f0810	render	callee-gate: 004d8560=C1
004f0940	FUN_004f0940	render	callee-gate: 004e1ac0=C1
004f13d0	FUN_004f13d0	render	callee-gate: 004dc5b0=C1,004ebc30=C1
004f1870	FUN_004f1870	render	callee-gate: 004e55d0=C1
004f1b00	FUN_004f1b00	render	callee-gate: 004dc5b0=C1,004e55d0=C1
004f3b60	FUN_004f3b60	render	callee-gate: 004e8030=C1
004f3ce0	FUN_004f3ce0	render	callee-gate: 004e8400=C1
004f3d40	FUN_004f3d40	render	callee-gate: 004e8440=C1
004f3e90	FUN_004f3e90	render	callee-gate: 004e8030=C1,004e8120=C1
004f4340	FUN_004f4340	render	callee-gate: 004eb9d0=C1
004f43f0	FUN_004f43f0	render	callee-gate: 004eb3c0=C1,004eb9d0=C1
004f4510	FUN_004f4510	render	callee-gate: 004e4bd0=C1
004f8580	FUN_004f8580	render	callee-gate: 004e8f50=C1
004fb130	FUN_004fb130	render	callee-gate: 004c4dc0=C1
004fb3e0	FUN_004fb3e0	render	callee-gate: 004c4dc0=C1
004fb4d0	FUN_004fb4d0	render	callee-gate: 004c4dc0=C1
004b4150	FUN_004b4150	render	callee-gate: 005493d0=C1,00549610=C1,00549620=C1
004b41f0	FUN_004b41f0	render	callee-gate: 004e5c30=C1
004b4230	FUN_004b4230	render	callee-gate: 004e5bf0=C1
004b47c0	FUN_004b47c0	render	callee-gate: 0052e0e0=C1,00533ec0=C1
004b47e0	FUN_004b47e0	render	callee-gate: 00532a60=C1,00532b80=C1
004b48e0	FUN_004b48e0	render	callee-gate: 004c0b30=C1,004c15c0=C1
