rva	klass	shape	arg_type	subsystem	size	reason
00422440	MANUAL	-	-	gameplay	45	MANUAL: unrecognized leaf shape
004233e0	MANUAL	-	-	ai	160	no-clean-ret (multi-exit/tail)
0042ac50	MANUAL	-	-	frontend	49	MANUAL: unrecognized leaf shape
00449880	MANUAL	-	-	particle	37	MANUAL: unrecognized leaf shape
00476a10	MANUAL	-	-	render	30	MANUAL: unrecognized leaf shape
00478cb0	MANUAL	-	-	physics	16	MANUAL: unrecognized leaf shape
0049da90	MANUAL	-	-	particle	101	MANUAL: unrecognized leaf shape
004b65c0	MANUAL	-	-	render	25	MANUAL: unrecognized leaf shape
004daa00	MANUAL	-	-	render	64	no-clean-ret (multi-exit/tail)
00520990	MANUAL	-	-	util	49	MANUAL: unrecognized leaf shape
005c1dac	MANUAL	-	-	boot	39	MANUAL: unrecognized leaf shape
005c2770	MANUAL	-	-	boot	31	MANUAL: unrecognized leaf shape
005c3403	MANUAL	-	-	boot	7	no-clean-ret (multi-exit/tail)
005c3584	MANUAL	-	-	boot	60	MANUAL: unrecognized leaf shape
