rva	sub	name	size	n_callees	conv	nargs	ret	arg_type_today	runnable_today	sig_conf	fp	imports	com_d3d	rw_orch	rw_frac	twin	derefs_arg	reads_global	n_globals	cyclic
005bf690	audio	FUN_005bf690	60	2	stdcall	1	int	int_scalar	1	low	0	Win32	0	0	0.0	-	0	0	1	0
005bf6d0	audio	FUN_005bf6d0	61	1	stdcall	3	int	-	0	low	0	-	0	0	0.0	-	1	0	1	0
005bf710	audio	FUN_005bf710	192	4	cdecl	5	int	-	0	low	0	-	0	1	0.5	-	0	1	2	0
005bf8a0	audio	FUN_005bf8a0	73	1	stdcall	1	int	-	0	low	0	Win32	0	0	1.0	-	1	0	2	0
005bf8f0	audio	FUN_005bf8f0	290	1	cdecl	8	int	-	0	low	0	-	0	0	1.0	-	1	0	1	0
005bfa20	audio	FUN_005bfa20	32	0	cdecl	2	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bfa40	audio	FUN_005bfa40	108	1	stdcall	4	int	-	0	low	0	-	0	0	1.0	-	1	0	0	0
005bfb20	audio	FUN_005bfb20	97	1	cdecl	6	int	-	0	low	0	-	0	0	0.0	-	1	0	0	0
005bfb90	audio	FUN_005bfb90	30	0	cdecl	1	int	-	0	low	0	Win32	0	0	0.0	-	1	0	1	0
005bfd10	audio	FUN_005bfd10	136	3	cdecl	3	int	-	0	low	1	-	0	0	0.33	-	0	1	2	0
