va	file_off	section	encoding	length	text
0x005ce3fc	0x1ce3fc	.rdata	ascii	15	MortarRound.dff
0x005ce40c	0x1ce40c	.rdata	ascii	10	mortar.dff
0x005ce43a	0x1ce43a	.rdata	ascii	22	4DDepthChargeRound.dff
0x005ce454	0x1ce454	.rdata	ascii	15	DepthCharge.dff
0x005ce464	0x1ce464	.rdata	ascii	13	flashunit.dff
0x005ce494	0x1ce494	.rdata	ascii	19	MissileLauncher.dff
0x005ce4cc	0x1ce4cc	.rdata	ascii	5	flash
0x005ce500	0x1ce500	.rdata	ascii	14	oilslicker.dff
0x005ce510	0x1ce510	.rdata	ascii	8	oilShine
0x005ce51e	0x1ce51e	.rdata	ascii	10	DBMine.dff
0x005ce52c	0x1ce52c	.rdata	ascii	15	MineDropper.dff
0x005ce558	0x1ce558	.rdata	ascii	5	flare
0x005ce560	0x1ce560	.rdata	ascii	7	shotgun
0x005ce568	0x1ce568	.rdata	ascii	12	flamethrower
0x005ce578	0x1ce578	.rdata	ascii	7	missile
0x005ce580	0x1ce580	.rdata	ascii	11	depthcharge
0x005ce58c	0x1ce58c	.rdata	ascii	6	mortar
0x005ce594	0x1ce594	.rdata	ascii	4	mine
0x005ce59c	0x1ce59c	.rdata	ascii	10	machinegun
0x005ce5a8	0x1ce5a8	.rdata	ascii	12	IconCube.dff
0x005ce5b8	0x1ce5b8	.rdata	ascii	16	PowerUpIcons.txd
0x005ce5cc	0x1ce5cc	.rdata	ascii	6	puglow
0x005ce5d6	0x1ce5d6	.rdata	ascii	15	HDTargetHUD.txd
0x005ce5e8	0x1ce5e8	.rdata	ascii	9	Headlight
0x005ce604	0x1ce604	.rdata	ascii	16	FlameThrower.dff
0x005ce61a	0x1ce61a	.rdata	ascii	13	kCshotgun.dff
0x005ce628	0x1ce628	.rdata	ascii	16	powerups_all.lua
0x005ce63c	0x1ce63c	.rdata	ascii	17	PowerUpModels.txd
0x005ce65a	0x1ce65a	.rdata	ascii	26	|Bnumpermvirtualvoices %d

0x005ce678	0x1ce678	.rdata	ascii	16	numpermwaves %d

0x005ce68c	0x1ce68c	.rdata	ascii	39	toastaudio\pc\audio\pcdics\PERMDICT.RWS
0x005ce6f5	0x1ce6f5	.rdata	ascii	30	`jFRtFSManagerRegister failed

0x005ce714	0x1ce714	.rdata	ascii	31	RtFSManagerRegister successful

0x005ce734	0x1ce734	.rdata	ascii	4	.rws
0x005ce73c	0x1ce73c	.rdata	ascii	8	spanish\
0x005ce748	0x1ce748	.rdata	ascii	7	german\
0x005ce750	0x1ce750	.rdata	ascii	8	italian\
0x005ce75c	0x1ce75c	.rdata	ascii	7	french\
0x005ce764	0x1ce764	.rdata	ascii	8	english\
0x005ce770	0x1ce770	.rdata	ascii	27	toastaudio\pc\audio\pcdics\
