rva,symbol,conf,subsystem,file,klass,tests,n_miss,n_extra,ours_b,orig_b,ratio,miss,extra
00416a30,AiControlStepM49,C3,ai,AiControlStep.cpp,WRAPPER,"resolved-via:??$ControlStepBody@$00@?A0xe779b373@@YAXPAXHPAE@Z,?Ftol@?A0xe779b373@@YAHN@Z",0,0,5,1871,-,,
004177b0,AiPreTick,C3,ai,AiPreTick.cpp,WINDOW,WINDOW,0,1,1497,1339,1.12,,0089a890
00417da0,AiControlStepM8,C3,ai,AiControlStep.cpp,WRAPPER,"resolved-via:??$ControlStepBody@$01@?A0xe779b373@@YAXPAXHPAE@Z,?Ftol@?A0xe779b373@@YAHN@Z",0,0,5,1980,-,,
00418560,AiVehicleStep,C3,ai,AiController.cpp,INLINED,INLINED|WINDOW,1,3,752,741,1.01,0089a4d0,"007f1039,007f103c,007f103d"
0041a500,GhostVec3Set63c6d0,C3,gameplay,PromoLoop_round65.cpp,FOLDED-MEMBER,FOLDED-MEMBER|WINDOW,1,3,74,71,1.04,0063c630,"0063c6d0,0063c6d4,0063c6d8"
0041a550,GhostVec4Set63c6b0,C3,gameplay,PromoLoop_round65.cpp,FOLDED-MEMBER,FOLDED-MEMBER|WINDOW,1,4,93,86,1.08,0063c630,"0063c6b0,0063c6b4,0063c6b8,0063c6bc"
0041c410,HudStandingsRowUpdate,C3,hud,HudStandingsRowUpdate.cpp,CANDIDATE,,1,0,10,1294,0.01,005f337c,
0041db80,Sub0041db80_HudThresholdDispatch,C4,hud,HudBatch.cpp,WINDOW,WINDOW,0,6,294,10,29.40,,"0063d560,0063d564,0063d568,0063d56c,0063d570,0063d588"
0041ded0,HudModeGuardDispatch,C3,hud,BatchAA_s1.cpp,CANDIDATE,,1,0,17,30,0.57,0063d5a0,
0041e4b0,StructPropagate41e4b0,C3,render,PromoLoop_sessionB.cpp,WRAPPER,"resolved-via:?F41e4b0_Body@@YAXPAE@Z,?offs@?1??F41e4b0_Body@@YAXPAE@Z@4QBIB",0,0,16,379,-,,
0041eda0,TimerBitFieldSet,C3,util,TimerInit.cpp,FOLDED-MEMBER,FOLDED-MEMBER,1,1,37,49,0.76,0063d9e0,0063dc74
0041eda0,SlotBitSet,C3,util,TimerSlot.cpp,FOLDED-MEMBER,FOLDED-MEMBER,1,1,37,49,0.76,0063d9e0,0063dc74
0041ede0,Flag0041ede0,C3,util,PromoLoop_round74.cpp,FOLDED-MEMBER,FOLDED-MEMBER,1,1,87,112,0.78,0063d9e0,0063dc74
0041ee50,Flag41ee50,C3,util,PromoLoop_sessionB.cpp,FOLDED-MEMBER,FOLDED-MEMBER,1,1,63,89,0.71,0063d9e0,0063dc74
0041eeb0,Flag0041eeb0,C3,gameplay,PromoLoop_round74.cpp,FOLDED-MEMBER,FOLDED-MEMBER,1,1,130,172,0.76,0063d9e0,0063dc74
0041ef80,FlagToggle63dc74,C3,util,PromoLoop_round66.cpp,FOLDED-MEMBER,FOLDED-MEMBER,1,1,42,55,0.76,0063d9e0,0063dc74
