rva,symbol,name,conf,subsystem,file,verdict,imm,detail
0042b960,CarSlotInit1P,FUN_0042b960,C3,frontend,MenuButtonDetect.cpp,PASS,same,data=7 ours=125B orig=116B
0042b9e0,CarSlotAssign,FUN_0042b9e0,C3,frontend,MenuButtonDetect.cpp,FAIL,same,"data -0x7f1a5c +0x7f1a2c,0x7f1a5b"
0042bb60,MenuTeamBalance,FUN_0042bb60,C3,frontend,MenuNav.cpp,FAIL,DIFF,"data -0x7f1a58 +-; imm --0x1,0x10 +-"
0042bde0,HudRectEmitter5,HudRectEmitter5,C3,frontend,BatchAA_s1.cpp,PASS,DIFF,"imm -0x1,0x50,0x6e,0xb4,0xf0 +0xc,0x17,0x1050b4,0x146ef0,0xfffffffe"
0042bde0,HudRectEmitter,HudRectEmitter5,C3,frontend,MenuNearLeaves_s6.cpp,PASS,DIFF,"imm -0x1,0x50,0x6e,0xb4,0xf0 +0x17,0x1050b4,0x146ef0,0xfffffffe"
0042bf30,Post0042bf30,MenuModalPost,C3,frontend,PromoLoop_round72.cpp,PASS,DIFF,imm -- +0x0
0042bfb0,MenuStateParamStore,MenuStateParamStore,C3,frontend,MenuStateWriters_u1.cpp,PASS,DIFF,imm -- +0x0
0042c150,Scan42c150,FUN_0042c150,C3,util,PromoLoop_sessionB.cpp,FAIL,DIFF,"data -0x67ea14,0x67ea44 +0x67ea18; imm -0x18 +0x1"
0042c1a0,StateAdvance2to3,StateAdvance2to3,C3,util,PromoLoop_round73.cpp,PASS,same,data=1 ours=20B orig=20B
0042c1c0,RaceInterruptFlagGet,FUN_0042c1c0,C3,util,GameStateCluster.cpp,PASS,same,data=1 ours=6B orig=6B
0042c1d0,RaceStateArrayZero,FUN_0042c1d0,C3,util,GameStateCluster.cpp,PASS,DIFF,imm -0xc +-
0042c1f0,Count42c1f0,FUN_0042c1f0,C3,util,PromoLoop_sessionB.cpp,PASS,same,data=0 ours=38B orig=36B
0042c280,Init42c280,FUN_0042c280,C3,vehicle,PromoLoop_sessionB.cpp,PASS,same,data=0 ours=29B orig=27B
0042c2d0,GetDat0067ecb4,GetDat0067ecb4,C4,util,StateAccessors.cpp,PASS,same,data=1 ours=6B orig=6B
0042c2e0,GetDat0067ecb8,GetDat0067ecb8,C4,util,StateAccessors.cpp,PASS,same,data=1 ours=6B orig=6B
0042c2f0,SetDat0067ecb8,SetDat0067ecb8,C4,util,UtilBatch.cpp,PASS,same,data=1 ours=10B orig=10B
0042d290,MenusLapTimeFmt,MenusLapTimeFmt,C3,frontend,MenuMixed.cpp,PASS,same,data=0 ours=101B orig=111B
0042d300,TimeDiffDecompose,TimeDiffDecompose,C3,frontend,MenuTime.cpp,PASS,DIFF,imm -0x3c +0x4
0042d390,Global67ea6cGet,GetRaceStateField,C3,render,PromoLoop_round32.cpp,PASS,same,data=1 ours=6B orig=6B
0042d3a0,RaceTransitionBufZero,RaceTransitionBufZero,C3,vehicle,SmallLeaves_o5.cpp,FAIL,DIFF,"data -0x67ed7c,0x67f0bc +0x67ed78; imm -0x40 +0x0,0x340"
